ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle,
301.5644116,44.4568506,0.0308,0.0293,-0.0064,10.418,0.015,70.6,1.466e+00,10.422,0.017,63.1,1.080e+00,1,0,0000,AA,10,57333.70007263,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.152321,158.629105,
301.5643626,44.4568522,0.0384,0.0373,-0.0090,10.417,0.020,55.0,2.610e+00,10.435,0.020,55.3,1.248e+00,1,0,0000,AA,10,57522.17217061,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.153218,207.356808,
301.5643643,44.4568516,0.0314,0.0288,0.0080,10.409,0.015,73.4,1.435e+00,10.423,0.018,60.4,1.007e+00,1,0,0000,AA,10,56974.62870420,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.153218,205.534314,
301.5643939,44.4568473,0.0356,0.0275,-0.0070,10.425,0.015,73.6,1.432e+00,10.428,0.018,58.8,7.994e-01,1,0,0000,AA,10,56975.35185708,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.154048,176.270003,
301.5643648,44.4568507,0.0334,0.0296,-0.0091,10.425,0.015,70.4,1.378e+00,10.445,0.018,59.5,1.208e+00,1,0,gg00,AA,10,56793.09102853,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.155604,204.593087,
301.5643680,44.4568489,0.0312,0.0285,-0.0093,10.449,0.015,70.5,2.518e+00,10.464,0.017,63.5,1.607e+00,1,0,0000,AA,5,57886.48828700,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.158401,200.910408,
301.5643740,44.4568474,0.0330,0.0332,-0.0103,10.426,0.020,53.6,1.640e+00,10.454,0.017,62.5,1.069e+00,1,0,0000,AA,10,57692.69132274,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.158789,195.007297,
301.5644045,44.4568471,0.0392,0.0319,-0.0135,10.439,0.017,63.3,2.017e+00,10.440,0.020,53.8,1.122e+00,1,0,g000,AA,10,57157.76718034,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.158878,166.436367,
301.5643610,44.4568509,0.0366,0.0337,-0.0062,10.411,0.020,54.8,1.482e+00,10.434,0.020,53.4,8.990e-01,1,0,0000,AA,10,57522.17229797,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.159264,207.896775,
301.5643846,44.4568455,0.0345,0.0275,-0.0062,10.395,0.015,74.7,8.351e-01,10.418,0.018,59.9,6.697e-01,1,0,0000,AA,10,56798.35529948,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.160799,184.950363,
