HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458882.69252,2020-02-03.1886371,bt,1.51,11.471,3.320,0.003,170619.842,434.116,g
2458882.69374,2020-02-03.1898614,bt,1.53,11.464,3.302,0.003,173384.893,413.400,g
2458882.69496,2020-02-03.1910744,bt,1.55,11.466,3.302,0.003,173606.658,538.243,g
2458887.71469,2020-02-08.2111616,bt,1.53,11.541,3.432,0.003,153992.153,463.973,g
2458887.71592,2020-02-08.2123870,bt,1.63,11.539,3.435,0.004,153393.273,507.974,g
2458888.60600,2020-02-09.1025408,bl,1.54,11.591,3.727,0.004,117240.202,413.742,g
2458888.60722,2020-02-09.1037612,bl,1.49,11.524,3.594,0.004,132527.193,453.084,g
2458888.60844,2020-02-09.1049769,bl,1.56,11.607,3.763,0.004,113382.052,372.910,g
2458888.78137,2020-02-09.2779168,bt,1.51,11.512,3.456,0.004,150514.167,551.339,g
2458888.78258,2020-02-09.2791317,bt,1.57,11.493,3.430,0.004,154245.860,540.176,g
2458888.78380,2020-02-09.2803512,bt,1.39,11.601,3.637,0.004,127491.274,437.241,g
2458889.59771,2020-02-10.0943358,bl,1.47,11.809,4.170,0.004,77981.928,252.480,g
2458889.59894,2020-02-10.0955568,bl,1.56,11.860,4.273,0.003,70879.421,200.351,g
2458889.60016,2020-02-10.0967765,bl,1.53,11.865,4.283,0.003,70285.416,213.124,g
2458890.58209,2020-02-11.0787773,bl,1.45,13.624,8.410,0.004,1569.087,5.329,g
2458890.58454,2020-02-11.0812268,bl,1.46,13.653,8.461,0.004,1498.197,4.994,g
2458893.77136,2020-02-14.2682975,bt,1.47,11.364,3.184,0.003,193350.149,573.155,g
2458893.77258,2020-02-14.2695217,bt,1.49,11.356,3.172,0.003,195489.089,478.774,g
2458893.77380,2020-02-14.2707379,bt,1.48,11.466,3.392,0.003,159596.674,463.496,g
2458894.76753,2020-02-15.2645421,bt,1.48,11.229,3.104,0.003,208249.068,648.289,g
2458894.76875,2020-02-15.2657648,bt,1.51,11.212,3.106,0.003,207893.387,535.412,g
2458894.76998,2020-02-15.2669936,bt,1.55,11.218,3.139,0.003,201662.245,595.725,g
2458895.77537,2020-02-16.2724644,bt,1.60,11.274,3.090,0.003,210767.275,569.455,g
2458895.77660,2020-02-16.2736910,bt,1.59,11.197,2.993,0.003,230449.059,595.595,g
2458895.77782,2020-02-16.2749142,bt,1.55,11.284,3.141,0.003,201191.266,566.790,g
2458896.76186,2020-02-17.2590353,bt,1.63,11.195,3.024,0.003,223927.826,666.983,g
2458896.76308,2020-02-17.2602641,bt,1.64,11.266,3.201,0.003,190404.684,501.018,g
2458896.76429,2020-02-17.2614763,bt,1.69,11.204,3.030,0.003,222752.175,643.087,g
2458901.68907,2020-02-22.1866641,bH,1.46,11.166,3.131,0.004,203092.660,702.962,g
2458901.69034,2020-02-22.1879341,bH,1.39,11.150,3.103,0.005,208451.048,866.404,g
2458901.69161,2020-02-22.1892099,bH,1.41,11.172,3.159,0.005,197912.477,867.158,g
2458903.56384,2020-02-24.0616012,bl,1.55,13.657,8.342,0.004,1671.611,5.421,g
2458903.56506,2020-02-24.0628209,bl,1.47,13.698,8.331,0.003,1689.049,4.669,g
2458903.56628,2020-02-24.0640370,bl,1.46,13.640,8.353,0.003,1655.822,4.842,g
2458904.63232,2020-02-25.1301704,bH,1.45,11.263,3.147,0.004,200146.820,809.426,g
2458904.63360,2020-02-25.1314521,bH,1.42,11.269,3.159,0.004,197825.598,754.559,g
2458904.63487,2020-02-25.1327217,bH,1.45,11.210,3.044,0.005,219916.799,964.555,g
2458905.62735,2020-02-26.1252878,bl,1.50,13.620,8.273,0.004,1782.212,6.226,g
2458905.62980,2020-02-26.1277359,bl,1.50,13.492,8.271,0.004,1785.919,6.133,g
2458906.64319,2020-02-27.1412164,bl,1.51,13.542,8.251,0.004,1818.092,6.531,g
2458907.64224,2020-02-28.1403581,bl,1.42,13.490,8.205,0.004,1895.859,6.823,g
2458907.64347,2020-02-28.1415917,bl,1.47,13.410,8.208,0.004,1892.370,6.665,g
2458907.64471,2020-02-28.1428288,bl,1.46,13.513,8.204,0.004,1898.149,7.148,g
2458909.67033,2020-03-01.1686305,bt,1.48,9.955,2.922,0.004,246184.819,877.918,g
2458909.67154,2020-03-01.1698465,bt,1.49,10.570,3.203,0.006,190150.320,1001.795,g
2458909.67276,2020-03-01.1710697,bt,1.55,10.606,3.021,0.005,224750.154,1054.044,g
