HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457611.96801,2016-08-11.4652907,bd,1.47,15.477,11.885,0.009,67.595,0.543,V
2457611.96927,2016-08-11.4665434,bd,1.51,15.481,11.892,0.009,67.148,0.543,V
2457611.97052,2016-08-11.4677978,bd,1.58,15.486,11.893,0.009,67.071,0.546,V
2457613.75621,2016-08-13.2534895,bd,1.54,15.439,11.884,0.009,67.641,0.564,V
2457613.75747,2016-08-13.2547465,bd,1.52,15.446,11.894,0.009,67.061,0.577,V
2457613.75873,2016-08-13.2560053,bd,1.47,15.461,11.895,0.009,67.004,0.547,V
2457617.96238,2016-08-17.4596526,bd,1.57,15.352,11.890,0.010,67.287,0.608,V
2457617.96364,2016-08-17.4609150,bd,1.44,15.325,11.866,0.010,68.790,0.616,V
2457617.96490,2016-08-17.4621787,bd,1.54,15.369,11.888,0.010,67.400,0.604,V
2457620.80989,2016-08-20.3071803,bd,1.61,15.402,11.885,0.010,67.539,0.584,V
2457620.81114,2016-08-20.3084281,bd,1.65,15.435,11.891,0.009,67.196,0.563,V
2457620.81241,2016-08-20.3096952,bd,1.64,15.387,11.902,0.010,66.529,0.589,V
2457625.81245,2016-08-25.3097615,bd,1.51,15.507,11.899,0.009,66.684,0.535,V
2457625.81370,2016-08-25.3110128,bd,1.57,15.512,11.891,0.009,67.215,0.531,V
2457625.81496,2016-08-25.3122690,bd,1.54,15.487,11.894,0.009,67.010,0.546,V
2457626.80218,2016-08-26.2994990,bd,1.53,15.481,11.882,0.009,67.788,0.528,V
2457626.80344,2016-08-26.3007618,bd,1.58,15.480,11.889,0.009,67.366,0.536,V
2457626.80469,2016-08-26.3020113,bd,1.55,15.472,11.905,0.009,66.334,0.552,V
2457636.91481,2016-09-05.4122586,bd,1.53,15.469,11.897,0.009,66.822,0.548,V
2457636.91606,2016-09-05.4135082,bd,1.54,15.500,11.898,0.009,66.774,0.522,V
2457636.91733,2016-09-05.4147739,bd,1.48,15.498,11.894,0.009,67.045,0.538,V
2457638.86094,2016-09-07.3584202,bd,1.56,15.515,11.901,0.009,66.557,0.526,V
2457638.86220,2016-09-07.3596754,bd,1.46,15.491,11.900,0.009,66.640,0.536,V
2457643.83994,2016-09-12.3375194,bd,1.53,15.399,11.898,0.010,66.756,0.586,V
2457643.84120,2016-09-12.3387701,bd,1.50,15.426,11.896,0.009,66.898,0.573,V
2457643.84245,2016-09-12.3400244,bd,1.50,15.409,11.886,0.009,67.547,0.584,V
2457651.87357,2016-09-20.3713418,bd,1.62,14.122,11.898,0.030,66.831,1.817,V
2457651.87482,2016-09-20.3725924,bd,1.56,13.952,11.964,0.038,62.875,2.206,V
2457651.87607,2016-09-20.3738428,bd,1.63,13.889,11.923,0.037,65.279,2.209,V
2457652.86873,2016-09-21.3665273,bd,1.76,15.412,11.910,0.010,66.057,0.590,V
2457652.86998,2016-09-21.3677800,bd,1.64,15.429,11.885,0.009,67.593,0.584,V
2457652.87124,2016-09-21.3690319,bd,1.73,15.418,11.892,0.009,67.154,0.591,V
2457656.80877,2016-09-25.3066752,bd,1.47,15.491,11.900,0.009,66.687,0.552,V
2457656.81002,2016-09-25.3079298,bd,1.51,15.470,11.892,0.009,67.152,0.543,V
2457656.81127,2016-09-25.3091826,bd,1.55,15.493,11.891,0.009,67.267,0.546,V
2457659.87383,2016-09-28.3718291,bd,1.80,15.479,11.900,0.009,66.655,0.550,V
2457659.87508,2016-09-28.3730829,bd,1.82,15.454,11.901,0.009,66.621,0.557,V
2457659.87633,2016-09-28.3743356,bd,1.84,15.466,11.896,0.009,66.912,0.547,V
2457662.77701,2016-10-01.2751090,bd,1.55,15.478,11.922,0.009,65.314,0.561,V
2457662.77827,2016-10-01.2763645,bd,1.58,15.464,11.915,0.009,65.780,0.568,V
2457662.77952,2016-10-01.2776129,bd,1.58,15.461,11.903,0.009,66.492,0.556,V
2457668.82679,2016-10-07.3251048,bd,1.50,15.478,11.889,0.009,67.373,0.550,V
2457668.82806,2016-10-07.3263677,bd,1.56,15.476,11.899,0.009,66.720,0.552,V
2457668.82931,2016-10-07.3276216,bd,1.52,15.463,11.893,0.009,67.127,0.558,V
2457671.78739,2016-10-10.2858074,bd,1.52,15.374,11.886,0.010,67.549,0.587,V
