MJD,V-mag,SE,air.mass
58020.11032,12.0810,0.0023,1.034
58020.11134,12.0845,0.0028,1.034
58020.11185,12.0839,0.0021,1.033
58020.11439,12.0849,0.0024,1.032
58020.11490,12.0873,0.0024,1.032
58020.11640,12.0796,0.0021,1.031
58020.11691,12.0833,0.0024,1.031
58020.11741,12.0812,0.0027,1.030
58020.11788,12.0813,0.0020,1.030
58020.11838,12.0847,0.0016,1.030
58020.11889,12.0799,0.0014,1.030
58020.11941,12.0834,0.0015,1.029
58020.11991,12.0849,0.0016,1.029
58020.12041,12.0763,0.0017,1.029
58020.12091,12.0843,0.0019,1.029
58020.12142,12.0852,0.0020,1.029
58020.12192,12.0806,0.0020,1.029
58020.12243,12.0853,0.0021,1.028
58020.12294,12.0842,0.0021,1.028
58020.12344,12.0835,0.0021,1.028
58020.12395,12.0778,0.0020,1.028
58020.12446,12.0818,0.0020,1.028
58020.12497,12.0886,0.0020,1.028
58020.12547,12.0907,0.0019,1.028
58020.12598,12.0802,0.0018,1.027
58020.12649,12.0820,0.0017,1.027
58020.12700,12.0799,0.0016,1.027
58020.12751,12.0935,0.0016,1.027
58020.12801,12.0796,0.0015,1.027
58020.12852,12.0872,0.0014,1.027
58020.12902,12.0852,0.0013,1.027
58020.12953,12.0786,0.0012,1.027
58020.13002,12.0793,0.0011,1.027
58020.13053,12.0852,0.0011,1.027
58020.13103,12.0817,0.0010,1.027
58020.13154,12.0838,0.0011,1.026
58020.13204,12.0804,0.0011,1.026
58020.13255,12.0890,0.0012,1.026
58020.13304,12.0830,0.0013,1.026
58020.13355,12.0910,0.0014,1.026
58020.13406,12.0841,0.0015,1.026
58020.13456,12.0950,0.0016,1.026
58020.13506,12.0794,0.0017,1.026
58020.13557,12.0844,0.0018,1.026
58020.13608,12.0836,0.0019,1.026
58020.13659,12.0935,0.0019,1.026
58020.13709,12.0910,0.0020,1.026
58020.13760,12.0897,0.0019,1.026
58020.13810,12.0829,0.0019,1.026
58020.13861,12.0833,0.0019,1.026
58020.13911,12.0825,0.0018,1.027
58020.13962,12.0857,0.0017,1.027
58020.14013,12.0874,0.0016,1.027
58020.14064,12.0911,0.0015,1.027
58020.14115,12.0859,0.0015,1.027
58020.14164,12.0819,0.0014,1.027
58020.14214,12.0849,0.0014,1.027
58020.14265,12.0853,0.0014,1.027
58020.14315,12.0892,0.0015,1.027
58020.14366,12.0872,0.0016,1.027
58020.14414,12.0856,0.0017,1.027
58020.14465,12.0791,0.0017,1.027
58020.14516,12.0869,0.0018,1.028
58020.14566,12.0793,0.0018,1.028
58020.14617,12.0837,0.0017,1.028
