Time,n_flux
139.17456,0.99903725
139.19500,0.99907936
139.21543,0.99903677
139.23587,0.99901954
139.25630,0.99889555
139.27674,0.99888287
139.29717,0.99877006
139.31760,0.99859115
139.33804,0.99870599
139.35847,0.99861214
139.37891,0.99842953
139.39934,0.99849341
139.41978,0.99838604
139.44021,0.99830864
139.46065,0.99817478
139.48108,0.99821826
139.50151,0.99808763
139.52195,0.99783461
139.54238,0.99785997
139.56282,0.99784137
139.58325,0.99777731
139.60369,0.99764972
139.62412,0.99751615
139.64456,0.99750108
139.66499,0.99724471
139.68543,0.99721732
139.70586,0.99694510
139.72629,0.99687745
139.74673,0.99671511
139.76716,0.99657778
139.78760,0.99638469
139.80803,0.99649978
139.82847,0.99644236
139.84890,0.99627607
139.86934,0.99626512
139.88977,0.99617779
139.91021,0.99615608
139.93064,0.99607097
139.95107,0.99600188
139.97151,0.99567852
139.99194,0.99577016
140.01238,0.99562618
140.03281,0.99555751
140.05325,0.99570568
140.07368,0.99558234
140.09412,0.99554388
140.11455,0.99536964
140.13498,0.99532089
140.15542,0.99524642
140.17585,0.99529738
140.19629,0.99514413
140.21672,0.99479278
140.23716,0.99496038
140.25759,0.99481659
140.27803,0.99503204
140.29846,0.99481461
140.31890,0.99478022
140.33933,0.99460987
140.38020,0.99450842
140.40063,0.99458827
140.42107,0.99456417
140.44150,0.99448073
140.46194,0.99445901
140.48237,0.99445770
140.50281,0.99456530
140.52324,0.99445572
140.54367,0.99444514
140.56411,0.99458420
140.58454,0.99469002
140.60498,0.99479320
140.62541,0.99454784
140.64585,0.99454592
140.66628,0.99457404
140.68672,0.99473673
140.70715,0.99464881
140.72759,0.99482394
140.74802,0.99484584
140.76845,0.99502773
140.78889,0.99499537
140.80932,0.99517177
140.82976,0.99500273
140.85019,0.99497551
140.87063,0.99526358
140.89106,0.99534200
140.91150,0.99550207
140.93193,0.99556373
140.95237,0.99566285
140.97280,0.99584074
140.99323,0.99574617
141.01367,0.99584301
141.03410,0.99578403
141.05454,0.99589188
141.07497,0.99612013
141.09541,0.99613539
141.11584,0.99620274
141.13628,0.99631082
141.15671,0.99632398
141.17714,0.99648309
141.19758,0.99647890
141.21801,0.99635718
141.23845,0.99628732
141.25888,0.99662049
141.27932,0.99647615
141.29975,0.99667916
141.32019,0.99656091
141.34062,0.99671673
141.36106,0.99672295
141.38149,0.99667019
141.40192,0.99673736
141.42236,0.99671721
141.44279,0.99704356
141.46323,0.99689139
141.48366,0.99691920
141.50410,0.99695994
141.52453,0.99712347
141.54497,0.99708890
141.56540,0.99754373
141.58583,0.99708872
141.60627,0.99730435
141.62670,0.99734945
141.64714,0.99750748
141.66757,0.99752596
141.68801,0.99754193
141.70844,0.99764218
141.72888,0.99765463
141.74931,0.99769733
141.76975,0.99778957
141.79018,0.99770954
141.81061,0.99784699
141.83105,0.99778562
141.85148,0.99805652
141.87192,0.99808487
141.89235,0.99827449
141.91279,0.99799533
141.93322,0.99806579
141.95366,0.99846602
141.97409,0.99828944
141.99453,0.99845399
142.01496,0.99856483
142.03539,0.99857302
142.05583,0.99841637
142.07626,0.99856327
142.09670,0.99849580
142.11713,0.99853109
142.13757,0.99872131
142.15800,0.99862363
142.17844,0.99859312
142.19887,0.99853726
142.21930,0.99863601
142.23974,0.99849933
142.26017,0.99867848
142.28061,0.99872208
142.30104,0.99865198
142.32148,0.99867298
142.34191,0.99886259
142.36235,0.99872041
142.38278,0.99889746
142.40322,0.99885583
142.42365,0.99883119
142.44408,0.99878567
142.46452,0.99884536
142.48495,0.99899939
142.50539,0.99895123
142.52582,0.99904748
142.54626,0.99929493
142.56669,0.99918158
142.58713,0.99921909
142.60756,0.99946241
142.62799,0.99925545
142.64843,0.99948323
142.66886,0.99947497
142.68930,0.99951176
142.70973,0.99952815
142.73017,0.99940613
142.75060,0.99942802
142.77104,0.99943687
142.79147,0.99926706
142.81191,0.99939626
142.83234,0.99950105
142.85277,0.99958557
142.87321,0.99941049
142.89364,0.99954239
142.91408,0.99959712
142.93451,0.99945009
142.95495,0.99973870
142.97538,0.99965669
142.99582,0.99965568
143.01625,0.99974031
143.03668,0.99960411
143.05712,0.99967739
143.07755,0.99956009
143.09799,0.99967751
