ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle,ROWID,
301.5643698,44.4568667,0.0340,0.0338,0.0038,10.431,0.018,59.9,1.371e+00,10.439,0.020,54.8,1.457e+00,1,0,0000,AA,10,56974.36574645,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.114261,222.773591,7,
301.5643380,44.4568431,0.0356,0.0320,0.0068,10.404,0.017,63.1,1.396e+00,10.401,0.021,52.4,8.077e-01,1,0,0000,AA,10,56974.43145282,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.232132,223.337467,111,
301.5643627,44.4568729,0.0342,0.0302,-0.0079,10.427,0.015,70.4,8.923e-01,10.439,0.019,58.3,8.949e-01,1,0,0000,AA,10,56974.49715920,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.113930,237.288198,6,
301.5643353,44.4568406,0.0346,0.0349,0.0115,10.405,0.019,57.9,8.975e-01,10.432,0.019,58.6,6.176e-01,1,0,0000,AA,10,56974.56287043,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.243454,223.071398,119,
301.5643578,44.4568591,0.0367,0.0358,-0.0119,10.427,0.021,51.2,7.314e-01,10.471,0.020,55.3,1.324e+00,1,0,0000,AA,10,56974.56299779,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.155361,224.269014,29,
301.5643643,44.4568516,0.0314,0.0288,0.0080,10.409,0.015,73.4,1.435e+00,10.423,0.018,60.4,1.007e+00,1,0,0000,AA,10,56974.62870420,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.165917,213.567880,41,
301.5643611,44.4568531,0.0325,0.0305,-0.0019,10.403,0.016,68.1,1.126e+00,10.448,0.018,60.6,8.064e-01,1,0,0000,AA,10,56974.69441061,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.166258,216.960194,43,
301.5643556,44.4568460,0.0323,0.0314,-0.0061,10.424,0.016,68.3,4.908e-01,10.439,0.019,57.3,1.013e+00,1,0,0000,AA,10,56974.76011706,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.195215,215.763968,74,
301.5644181,44.4568673,0.0336,0.0312,0.0024,10.432,0.017,63.1,1.435e+00,10.415,0.020,54.2,1.960e+00,1,0,0000,AA,10,56974.82595083,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.094034,150.354250,1,
301.5643345,44.4568279,0.0346,0.0293,-0.0058,10.415,0.015,72.9,1.323e+00,10.438,0.018,59.0,8.504e-01,1,0,0000,AA,10,56974.89165729,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.279831,216.974564,136,
301.5643771,44.4568595,0.0310,0.0286,0.0016,10.424,0.014,76.2,1.423e+00,10.431,0.019,58.3,6.159e-01,1,0,0000,AA,10,56974.95736375,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.124585,208.187685,11,
301.5643658,44.4568356,0.0347,0.0302,0.0054,10.402,0.015,70.2,1.438e+00,10.455,0.019,57.3,1.205e+00,1,0,0000,AA,10,56975.08890389,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.214645,204.167474,98,
301.5643365,44.4568568,0.0329,0.0293,-0.0042,10.400,0.017,65.5,2.531e+00,10.412,0.018,58.7,9.952e-01,1,0,0000,AA,10,56975.22031681,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.202250,233.777643,84,
301.5643939,44.4568473,0.0356,0.0275,-0.0070,10.425,0.015,73.6,1.432e+00,10.428,0.018,58.8,7.994e-01,1,0,0000,AA,10,56975.35185708,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.154507,185.822230,26,
301.5643287,44.4568590,0.0332,0.0281,-0.0096,10.413,0.015,71.8,1.198e+00,10.449,0.018,61.6,5.817e-01,1,0,0000,AA,10,57156.78273122,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.214535,238.653228,97,
301.5643451,44.4568384,0.0360,0.0304,-0.0055,10.394,0.015,72.2,1.481e+00,10.454,0.019,57.4,8.415e-01,1,0,0000,AA,10,57156.91401662,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.233248,217.214020,113,
301.5643759,44.4568497,0.0332,0.0277,-0.0050,10.421,0.014,75.3,5.448e-01,10.440,0.018,60.3,8.713e-01,1,0,0000,AA,10,57157.04530203,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.157744,203.115211,31,
301.5643523,44.4568489,0.0339,0.0308,-0.0018,10.413,0.017,64.1,2.223e+00,10.422,0.019,58.7,9.399e-01,1,0,0000,AA,10,57157.17658733,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.192142,219.638338,71,
