MJD,V-mag,SE,air mass
57876.27159,11.9099,0.0037,2.967
57876.27207,11.9143,0.0037,2.951
57876.27255,11.8935,0.0038,2.935
57876.27303,11.9172,0.0041,2.919
57876.27351,11.9018,0.0042,2.904
57876.27399,11.9114,0.0042,2.888
57876.27447,11.9145,0.0044,2.873
57876.27494,11.9087,0.0045,2.858
57876.27542,11.9060,0.0045,2.843
57876.27590,11.9004,0.0047,2.828
57876.27638,11.9067,0.0049,2.814
57876.27685,11.9221,0.0049,2.800
57876.27733,11.9140,0.0049,2.785
57876.27780,11.8884,0.0049,2.771
57876.27828,11.8950,0.0049,2.757
57876.27876,11.9047,0.0049,2.743
57876.27924,11.9189,0.0049,2.730
57876.27971,11.9141,0.0048,2.716
57876.28020,11.9126,0.0047,2.702
57876.28067,11.8926,0.0045,2.689
57876.28115,11.9051,0.0044,2.676
57876.28163,11.9136,0.0042,2.663
57876.28211,11.9154,0.0041,2.650
57876.28259,11.9095,0.0040,2.637
57876.28307,11.8984,0.0038,2.624
57876.28354,11.8991,0.0037,2.612
57876.28402,11.8903,0.0036,2.600
57876.28449,11.9132,0.0035,2.587
57876.28498,11.9151,0.0036,2.575
57876.28545,11.9096,0.0036,2.563
57876.28594,11.9179,0.0036,2.551
57876.28641,11.9105,0.0036,2.539
57876.28690,11.9069,0.0037,2.527
57876.28737,11.9090,0.0037,2.515
57876.28786,11.9001,0.0038,2.504
57876.28833,11.9054,0.0039,2.492
57876.28881,11.9085,0.0039,2.481
57876.28929,11.9120,0.0040,2.470
57876.28977,11.9104,0.0039,2.459
57876.29024,11.8941,0.0038,2.448
57876.29072,11.9203,0.0037,2.437
57876.29119,11.8984,0.0036,2.426
57876.29167,11.9053,0.0035,2.416
57876.29214,11.9232,0.0034,2.405
57876.29263,11.9133,0.0033,2.394
57876.29309,11.9136,0.0032,2.384
57876.29405,11.9069,0.0032,2.364
57876.29454,11.9098,0.0032,2.353
57876.29501,11.8997,0.0033,2.343
57876.29550,11.8983,0.0033,2.333
57876.29597,11.9082,0.0034,2.323
57876.29645,11.9239,0.0034,2.314
57876.29693,11.9016,0.0034,2.304
57876.29741,11.9139,0.0033,2.294
57876.29789,11.9111,0.0032,2.284
57876.29837,11.9121,0.0031,2.275
57876.29884,11.8959,0.0030,2.266
57876.29933,11.8831,0.0029,2.256
57876.29979,11.9123,0.0027,2.247
57876.30027,11.9002,0.0026,2.238
57876.30075,11.9100,0.0025,2.229
57876.30123,11.8949,0.0024,2.220
57876.30170,11.9110,0.0023,2.211
57876.30219,11.8947,0.0023,2.202
57876.30266,11.9044,0.0022,2.194
57876.30315,11.9022,0.0022,2.185
57876.30411,11.9122,0.0021,2.167
57876.30458,11.9129,0.0021,2.159
57876.30506,11.9183,0.0020,2.151
57876.30554,11.9071,0.0020,2.142
57876.30602,11.9035,0.0020,2.134
57876.30650,11.9017,0.0020,2.126
57876.30698,11.9073,0.0020,2.118
57876.30745,11.9084,0.0020,2.110
57876.30794,11.9000,0.0020,2.101
57876.30841,11.9129,0.0020,2.094
57876.30889,11.9055,0.0020,2.086
57876.30938,11.9148,0.0019,2.078
57876.30985,11.8979,0.0019,2.070
57876.31032,11.8987,0.0019,2.063
57876.31080,11.8952,0.0019,2.055
57876.31127,11.8894,0.0019,2.047
57876.31176,11.9113,0.0019,2.040
57876.31223,11.9057,0.0019,2.032
57876.31271,11.8981,0.0020,2.025
57876.31319,11.9139,0.0020,2.018
57876.31366,11.9035,0.0020,2.011
57876.31414,11.8934,0.0020,2.003
57876.31462,11.8954,0.0021,1.996
57876.31510,11.9026,0.0021,1.989
57876.31558,11.8967,0.0021,1.982
57876.31606,11.9023,0.0021,1.975
57876.31654,11.9158,0.0022,1.968
57876.31701,11.9124,0.0022,1.961
57876.31750,11.9071,0.0022,1.954
57876.31797,11.9166,0.0023,1.948
57876.31845,11.9021,0.0023,1.941
57876.31892,11.9073,0.0024,1.934
57876.31941,11.9018,0.0024,1.928
57876.31990,11.9010,0.0024,1.921
57876.32037,11.9076,0.0025,1.914
57876.32083,11.9215,0.0024,1.908
57876.32132,11.9205,0.0024,1.902
57876.32179,11.9060,0.0024,1.895
57876.32227,11.9046,0.0023,1.889
57876.32275,11.9047,0.0022,1.883
57876.32323,11.9181,0.0021,1.876
57876.32370,11.9007,0.0021,1.870
57876.32418,11.9045,0.0020,1.864
57876.32466,11.8954,0.0020,1.858
57876.32515,11.9056,0.0019,1.852
57876.32563,11.9052,0.0020,1.846
57876.32610,11.9043,0.0021,1.840
57876.32657,11.9097,0.0022,1.834
57876.32705,11.9082,0.0024,1.828
57876.32752,11.9007,0.0026,1.822
57876.32800,11.8957,0.0027,1.817
57876.32895,11.9131,0.0028,1.805
57876.32943,11.9021,0.0030,1.800
57876.32991,11.9034,0.0031,1.794
57876.33038,11.9010,0.0031,1.788
57876.33087,11.9087,0.0031,1.783
57876.33134,11.9114,0.0031,1.777
57876.33182,11.9021,0.0030,1.772
57876.33229,11.8882,0.0028,1.767
57876.33277,11.9134,0.0026,1.761
57876.33325,11.8988,0.0024,1.756
57876.33373,11.8934,0.0023,1.751
57876.33420,11.9024,0.0021,1.745
57876.33468,11.9087,0.0019,1.740
57876.33515,11.9167,0.0017,1.735
57876.33562,11.9016,0.0017,1.730
57876.33610,11.9072,0.0016,1.725
57876.33659,11.9178,0.0017,1.720
57876.33706,11.9005,0.0017,1.715
57876.33753,11.9100,0.0019,1.710
57876.33801,11.9010,0.0020,1.705
57876.33848,11.8998,0.0022,1.700
57876.33896,11.9073,0.0023,1.695
57876.33944,11.9095,0.0025,1.690
57876.33992,11.9078,0.0026,1.685
57876.34039,11.9122,0.0027,1.680
57876.34087,11.9021,0.0027,1.676
57876.34135,11.9071,0.0028,1.671
57876.34183,11.9001,0.0028,1.666
57876.34230,11.9064,0.0028,1.661
57876.34279,11.9051,0.0027,1.657
57876.34326,11.9091,0.0027,1.652
57876.34375,11.9115,0.0026,1.647
57876.34422,11.9079,0.0025,1.643
57876.34470,11.9050,0.0024,1.638
57876.34519,11.9012,0.0023,1.634
57876.34566,11.9095,0.0021,1.629
57876.34615,11.9094,0.0020,1.625
57876.34662,11.8996,0.0019,1.621
57876.34711,11.9051,0.0018,1.616
57876.34758,11.9009,0.0018,1.612
57876.34806,11.9111,0.0018,1.607
57876.34854,11.8963,0.0019,1.603
57876.34902,11.8986,0.0019,1.599
57876.34949,11.9032,0.0020,1.595
57876.34995,11.9104,0.0021,1.591
57876.35043,11.8912,0.0021,1.587
57876.35091,11.9077,0.0021,1.582
57876.35139,11.9034,0.0021,1.578
57876.35186,11.9035,0.0021,1.574
57876.35235,11.9021,0.0020,1.570
57876.35282,11.9084,0.0019,1.566
57876.35331,11.9161,0.0018,1.562
57876.35378,11.8940,0.0018,1.558
57876.35426,11.8976,0.0017,1.554
57876.35473,11.9031,0.0016,1.550
57876.35521,11.9029,0.0016,1.546
57876.35569,11.9104,0.0016,1.542
57876.35617,11.9047,0.0017,1.539
57876.35664,11.9058,0.0017,1.535
57876.35712,11.9017,0.0018,1.531
57876.35759,11.9055,0.0019,1.527
57876.35807,11.9124,0.0020,1.524
57876.35855,11.9085,0.0021,1.520
57876.35903,11.8970,0.0022,1.516
57876.35950,11.9093,0.0022,1.512
57876.35999,11.9097,0.0023,1.509
57876.36046,11.9046,0.0024,1.505
